Customer ID,Monetary
18287,1837.28
18283,2094.88
18282,176.6
18281,80.82
18280,180.6
18278,173.9
18277,97.63
18276,323.36
18274,0
18273,204
18272,3064.78
18270,238.95
18269,138.9
18268,0
18265,801.51
18263,1211.08
18262,149.48
18261,324.24
18260,2595
18259,2338.6
18257,2265.38
18256,-50.1
18255,103.3
18252,526.67
18251,4314.72
18250,342.92
18249,95.34
18248,783.02
18246,596.1
18245,2507.56
18242,2232.49
18241,2058.09
18240,422.58
18239,1561.61
18237,987.1
18236,882.24
18235,1796.48
18233,440
18232,582.47
18231,2066.17
18230,2716.6
18229,7276.9
18228,769.2
18227,93.75
18226,5192.1
18225,5361.02
18224,158.95
18223,6315.23
18222,443
18221,1033.31
18220,297.78
18219,2019.77
18218,626.38
18217,621.75
18216,481.75
18215,299.34
18213,232.48
18212,248.42
18211,600.07
18210,2621.38
18209,139.1
18205,517.36
18204,1979.3
18203,160.42
18202,1396.99
18200,163.8
18198,5083.06
18196,689.13
18194,896
18193,212.96
18192,957.97
18191,207.8
18190,274.51
18189,1084.34
18188,1998.49
18185,304.25
18184,49.8
18183,600.52
18181,382.8
18180,1843.75
18179,1793.17
18178,1573.41
18177,1314.17
18176,448.65
18174,104
18173,2106.84
18172,7490.17
18171,1208.51
18170,980.31
18169,202.65
18168,1133.64
18167,1355.51
18165,302.46
18164,394.7
18161,1612.79
18160,638.06
18159,530.15
18158,451.75
18156,734.94
18155,347.82
18154,399.19
18151,653.35
18150,566.58
18149,612.08
18147,179.34
18146,160.35
18145,2861.55
18144,2888.75
18143,1000.16
18142,1014.9
18141,-35.4
18139,8393.22
18138,152.65
18136,761.83
18135,681.91
18133,715.5
18130,1045.74
18129,112.55
18127,348.73
18126,206.83
18125,1141.34
18123,589.44
18122,1826.21
18121,673.1
18120,111.15
18119,181.12
18118,5595.77
18117,320.72
18116,1418.03
18114,220.1
18113,76.32
18112,352.69
18110,206.05
18109,7925.32
18108,264.65
18106,430.7
18105,113.48
18104,754.64
18102,256438.49
18101,223.65
18099,168.31
18097,2692.85
18096,911.15
18095,580.05
18094,3017.3
18093,2083.42
18092,9065.76
18088,167.67
18087,3770.12
18086,101.34
18085,689.95
18084,87.53
18082,703.37
18081,343.45
18080,1231.5
18079,3651.97
18078,336.13
18077,2633.01
18075,2538.72
18074,489.6
18073,3864.44
18072,0
18071,453
18069,2021.82
18068,101.7
18067,396.33
18066,318
18065,2380.08
18064,814
18062,720.52
18061,2119.41
18059,296.71
18058,170.16
18056,363.65
18055,6752.14
18053,297.07
18050,74.4
18048,172.29
18045,189.4
18044,2085.65
18043,559.51
18042,165.05
18041,4161.14
18040,357.2
18037,70.02
18036,405.62
18035,730.4
18034,422.88
18033,97.97
18032,73.5
18030,220.7
18027,115.31
18024,236.78
18022,668.11
18019,38.45
18018,122.14
18017,523
18016,1483.56
18015,120.03
18014,166.42
18013,187.29
18011,102.79
18010,174.8
18009,252.24
18008,2116.19
18006,444.68
18005,249.72
18004,169.47
18001,417.23
17999,382.06
17997,1511.3
17995,76.1
17994,629.69
17991,93.35
17990,630.84
17988,191.17
17987,198.57
17986,20.8
17985,634.95
17984,152.68
17980,811.45
17979,737.81
17978,300.92
17977,288.14
17976,353.19
17975,4393.61
17974,740.79
17973,337.04
17972,136.04
17970,582.59
17969,228.2
17968,277.35
17967,123.07
17966,1098.43
17965,2622.57
17964,471.7
17962,102.83
17961,1296.44
17960,73.78
17958,508.46
17957,111.68
17956,12.75
17955,557.3
17954,2295.37
17951,990.84
17950,472.12
17949,52750.84
17948,358.56
17947,176.68
17946,149.58
17942,77.5
17941,304.56
17940,1983.58
17939,99.14
17937,4301.22
17936,389.84
17935,145.79
17934,704.25
17932,1331.57
17931,408.36
17930,1740.48
17929,834.5
17928,212.54
17926,397.29
17925,244.08
17924,2894.33
17923,207.5
17921,826.52
17920,4204.1
17919,1304.04
17917,341.28
17914,336.43
17913,411.6
17912,295.61
17911,366.23
17908,243.28
17906,72.9
17905,800.24
17904,178.92
17901,110.38
17900,15
17899,155.8
17898,152.06
17897,541.1
17896,256.32
17895,98
17894,1119.81
17893,112.25
17892,244.1
17891,203.86
17890,602.09
17889,203.87
17888,525.78
17887,111.35
17886,899.61
17885,190.19
17884,717.45
17883,671.77
17881,133.35
17880,458.92
17879,178.52
17878,379.45
17877,237.61
17874,658.26
17873,1764.36
17871,155.9
17870,1889.4
17869,428.18
17867,622.75
17866,325.7
17865,10158.54
17864,597.5
17863,3160
17862,330.9
17861,2059.2
17860,252.8
17859,148.21
17858,5155.66
17857,26763.34
17856,1393.79
17855,208.97
17854,311.26
17852,114.34
17850,5288.63
17849,605.8
17848,901.2
17846,2033.1
17844,51.56
17843,205.48
17841,40340.78
17839,338.8
17838,2312.7
17837,1560.53
17836,110.21
17835,350.64
17832,155.37
17831,35.4
17830,398.7
17829,889.24
17828,1599.97
17827,1995.46
17824,298.4
17820,-24.05
17819,3661.07
17817,387.68
17816,36.56
17813,1714.6
17812,732.16
17811,7677.71
